,period,short_descriptions,temperatures
0,Overnight,Clear,Low: 60 °F
1,Friday,Sunny,High: 85 °F
2,FridayNight,Clear,Low: 56 °F
3,Saturday,Sunny,High: 89 °F
4,SaturdayNight,Clear,Low: 62 °F
5,Sunday,Mostly Sunny,High: 98 °F
6,SundayNight,Partly Cloudy,Low: 67 °F
7,Monday,Hot,High: 101 °F
8,MondayNight,Partly Cloudy,Low: 69 °F
